Title,Authors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Supplement,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Avg per Year Since Publication,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Implementation and evaluation of an incentivized Internet-mediated walking program for obese adults,"Zulman, Donna M.; Damschroder, Laura J.; Smith, Ryan G.; Resnick, Paul J.; Sen, Ananda; Krupka, Erin L.; Richardson, Caroline R.",,TRANSLATIONAL BEHAVIORAL MEDICINE,DEC 2013,2013,3,4,,357,369,,10.1007/s13142-013-0211-6,,,18,1.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,1,1,1,3,0,1,0
ReQ-ReC: High Recall Retrieval with Query Pooling and Interactive Classification,"Li, Cheng; Wang, Yue; Resnick, Paul; Mei, Qiaozhu",,SIGIR'14: PROCEEDINGS OF THE 37TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL,2014,2014,,,,163,172,,10.1145/2600428.2609618,37th Annual International ACM Special Interest Group on Information Retrieval Conference on Research and Development in Information Retrieval,"JUL 06-11, 2014",23,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,1,3,3,2,0
Including HCI and User Experience (UX) Methodologies in Computing Curricula,"Davis, Debra Lee; Berque, Dave; Davis, Janet; Jadud, Matt; Resnick, Paul","Dougherty, J; Nagel, K; Decker, A; Eiselt, K",PROCEEDINGS OF THE 45TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION (SIGCSE'14),2014,2014,,,,734,734,,,45th ACM SIGCSE Technical Symposium on Computer Science Education (SIGCSE),"MAR 05-08, 2014",0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enquiring Minds: Early Detection of Rumors in Social Media from Enquiry Posts,"Zhao, Zhe; Resnick, Paul; Mei, Qiaozhu",,PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON WORLD WIDE WEB (WWW 2015),2015,2015,,,,1395,1405,,10.1145/2736277.2741637,24th International Conference on World Wide Web (WWW),"MAY 18-22, 2015",343,34.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,19,28,57,58,64,49,38,18
Effects of Public Commitments and Accountability in a Technology-Supported Physical Activity Intervention,"Munson, Sean A.; Krupka, Erin; Richardson, Caroline; Resnick, Paul",,CHI 2015: PROCEEDINGS OF THE 33RD ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2015,2015,,,,1135,1144,,10.1145/2702123.2702524,33rd Annual CHI Conference on Human Factors in Computing Systems (CHI),"APR 18-23, 2015",25,2.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,4,1,1,3,1,0
What Social Media Data We Are Missing and How to Get It,"Resnick, Paul; Adar, Eytan; Lampe, Cliff",,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,MAY 2015,2015,659,1,,192,206,,10.1177/0002716215570006,,,4,0.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0
Hypothetical Outcome Plots Outperform Error Bars and Violin Plots for Inferences about Reliability of Variable Ordering,"Hullman, Jessica; Resnick, Paul; Adar, Eytan",,PLOS ONE,NOV 16 2015,2015,10,11,,,,e0142444,10.1371/journal.pone.0142444,,,98,9.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,16,12,16,18,18,10
"It's Creepy, But It Doesn't Bother Me","Phelan, Chanda; Lampe, Cliff; Resnick, Paul",,"34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016",2016,2016,,,,5240,5251,,10.1145/2858036.2858381,34th Annual CHI Conference on Human Factors in Computing Systems (CHI4GOOD),"MAY 07-12, 2016",58,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,13,9,7,10,4
Multiple Queries as Bandit Arms,"Li, Cheng; Resnick, Paul; Mei, Qiaozhu",,CIKM'16: PROCEEDINGS OF THE 2016 ACM CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,2016,2016,,,,1089,1098,,10.1145/2983323.2983816,25th ACM International Conference on Information and Knowledge Management (CIKM),"OCT 24-28, 2016",7,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0
Recommender Systems-Beyond Matrix Completion,"Jannach, Dietmar; Resnick, Paul; Tuzhilin, Alexander; Zanker, Markus",,COMMUNICATIONS OF THE ACM,NOV 2016,2016,59,11,,94,102,,10.1145/2891406,,,94,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,15,13,18,13,11,5
